date,spy_close,vix,hyg,dxy,gold,copper,eem,skew,composite_score,flow_regime,regime_signal,return_5d,return_10d,return_20d
1995-12-01,60.984375,11.109999656677246,,85.16000366210938,,,,116.6500015258789,6.1,risk_on,STRONG_HOLD,1.92,1.36,1.9
1995-12-04,61.734375,10.65999984741211,,84.97000122070312,,,,116.27999877929688,6.1,risk_on,STRONG_HOLD,1.11,-1.8,0.94
1995-12-05,62.140625,11.649999618530273,,84.62000274658203,,,,120.18000030517578,6.1,risk_on,STRONG_HOLD,0.15,-1.41,-0.68
1995-12-06,62.28125,12.699999809265137,,84.93000030517578,,,,121.8499984741211,6.1,risk_on,STRONG_HOLD,0.55,-2.58,-1.1
1995-12-07,61.953125,12.739999771118164,,85.25,,,,120.52999877929688,6.1,risk_on,STRONG_HOLD,0.35,-1.56,-0.2
1995-12-08,62.15625,11.119999885559082,,85.23999786376953,,,,119.68000030517578,6.1,risk_on,STRONG_HOLD,-0.55,-1.53,-2.24
1995-12-11,62.421875,11.0600004196167,,85.20999908447266,,,,119.56999969482422,6.1,risk_on,STRONG_HOLD,-2.88,-1.48,-3.93
1995-12-12,62.234375,10.630000114440918,,85.43000030517578,,,,118.44000244140625,6.1,risk_on,STRONG_HOLD,-1.56,-1.23,-3.06
1995-12-13,62.625,10.359999656677246,,85.47000122070312,,,,118.29000091552734,6.1,risk_on,STRONG_HOLD,-3.12,-1.95,-3.82
1995-12-14,62.171875,11.069999694824219,,84.88999938964844,,,,115.98999786376953,6.1,risk_on,STRONG_HOLD,-1.91,-1.11,-3.32
1995-12-15,61.8125,11.4399995803833,,85.12999725341797,,,,118.76000213623047,6.1,risk_on,STRONG_HOLD,-0.99,0.53,-1.57
1995-12-18,60.625,14.550000190734863,,84.62999725341797,,,,117.83000183105469,4.9,mild_risk_on,HOLD,1.44,2.78,0.05
1995-12-19,61.265625,13.15999984741211,,85.05000305175781,,,,115.0199966430664,6.1,risk_on,STRONG_HOLD,0.33,0.74,-0.66
1995-12-20,60.671875,12.199999809265137,,84.94999694824219,,,,115.06999969482422,6.1,risk_on,STRONG_HOLD,1.21,1.52,0.98
1995-12-21,60.984375,10.770000457763672,,84.77999877929688,,,,114.27999877929688,6.1,risk_on,STRONG_HOLD,0.82,1.38,0.49
1995-12-22,61.203125,11.510000228881836,,84.69999694824219,,,,113.66999816894531,6.1,risk_on,STRONG_HOLD,1.53,-0.71,0.36
1995-12-26,61.5,11.489999771118164,,84.44000244140625,,,,114.04000091552734,6.1,risk_on,STRONG_HOLD,1.32,-2.49,0.69
1995-12-27,61.46875,11.979999542236328,,84.58999633789062,,,,113.45999908447266,6.1,risk_on,STRONG_HOLD,0.41,-1.86,0.38
1995-12-28,61.40625,12.25,,84.80000305175781,,,,113.11000061035156,6.1,risk_on,STRONG_HOLD,0.31,-1.91,1.35
1995-12-29,61.484375,12.520000457763672,,84.76000213623047,,,,112.0,6.1,risk_on,STRONG_HOLD,0.56,-2.24,1.63
1996-01-02,62.140625,12.1899995803833,,84.69000244140625,,,,113.20999908447266,6.1,risk_on,STRONG_HOLD,-2.21,-2.09,1.41
1996-01-03,62.3125,12.100000381469727,,85.11000061035156,,,,113.12000274658203,6.1,risk_on,STRONG_HOLD,-3.76,-2.66,2.18
1996-01-04,61.71875,13.779999732971191,,85.22000122070312,,,,112.2699966430664,6.1,risk_on,STRONG_HOLD,-2.25,-1.39,3.54
1996-01-05,61.59375,13.579999923706055,,85.05999755859375,,,,113.26000213623047,6.1,risk_on,STRONG_HOLD,-2.21,-0.53,3.32
1996-01-08,61.828125,13.109999656677246,,85.04000091552734,,,,112.93000030517578,6.1,risk_on,STRONG_HOLD,-2.78,-0.88,3.77
1996-01-09,60.765625,15.210000038146973,,85.06999969482422,,,,111.19000244140625,4.9,mild_risk_on,HOLD,0.13,1.08,6.58
1996-01-10,59.96875,16.399999618530273,,84.91000366210938,,,,116.0,4.9,mild_risk_on,HOLD,1.15,3.26,8.62
1996-01-11,60.328125,14.6899995803833,,85.12999725341797,,,,113.73999786376953,4.9,mild_risk_on,HOLD,0.88,2.28,9.14
1996-01-12,60.234375,14.229999542236328,,85.05999755859375,,,,115.08999633789062,4.9,mild_risk_on,HOLD,1.71,3.32,9.29
1996-01-15,60.109375,14.989999771118164,,85.30999755859375,,,,116.0,4.9,mild_risk_on,HOLD,1.95,3.95,10.35
1996-01-16,60.84375,14.09000015258789,,85.98999786376953,,,,115.95999908447266,4.9,mild_risk_on,HOLD,0.95,3.57,8.78
1996-01-17,60.65625,14.25,,86.26000213623047,,,,113.36000061035156,4.9,mild_risk_on,HOLD,2.09,4.97,8.17
1996-01-18,60.859375,13.579999923706055,,86.44000244140625,,,,113.26000213623047,6.1,risk_on,STRONG_HOLD,1.39,5.01,7.14
1996-01-19,61.265625,12.699999809265137,,86.75,,,,114.02999877929688,6.1,risk_on,STRONG_HOLD,1.58,3.88,5.99
1996-01-22,61.28125,13.34000015258789,,86.7300033569336,,,,113.68000030517578,6.1,risk_on,STRONG_HOLD,1.96,4.69,4.92
1996-01-23,61.421875,13.5600004196167,,86.83000183105469,,,,114.33999633789062,6.1,risk_on,STRONG_HOLD,2.59,5.44,5.98
1996-01-24,61.921875,12.539999961853027,,87.19000244140625,,,,110.7699966430664,6.1,risk_on,STRONG_HOLD,2.83,5.2,6.79
1996-01-25,61.703125,12.9399995803833,,87.41999816894531,,,,112.45999908447266,6.1,risk_on,STRONG_HOLD,3.57,6.71,6.86
1996-01-26,62.234375,12.0,,87.63999938964844,,,,113.2699966430664,6.1,risk_on,STRONG_HOLD,2.26,5.77,4.44
1996-01-29,62.484375,12.1899995803833,,87.41000366210938,,,,110.73999786376953,6.1,risk_on,STRONG_HOLD,2.68,6.15,3.7
1996-01-30,63.015625,12.420000076293945,,87.58999633789062,,,,112.12000274658203,6.1,risk_on,STRONG_HOLD,2.78,5.03,2.36
1996-01-31,63.671875,12.529999732971191,,87.37999725341797,,,,113.75,6.1,risk_on,STRONG_HOLD,2.31,3.04,0.32
1996-02-01,63.90625,12.649999618530273,,87.18000030517578,,,,113.0,6.1,risk_on,STRONG_HOLD,3.03,2.03,1.54
1996-02-02,63.640625,13.229999542236328,,87.01000213623047,,,,115.19000244140625,6.1,risk_on,STRONG_HOLD,3.44,2.04,2.55
1996-02-05,64.15625,13.460000038146973,,86.2300033569336,,,,115.80999755859375,6.1,risk_on,STRONG_HOLD,3.39,0.22,2.68
1996-02-06,64.765625,14.59000015258789,,86.41000366210938,,,,112.95999908447266,4.9,mild_risk_on,HOLD,2.2,0.51,0.82
1996-02-07,65.140625,14.109999656677246,,86.6500015258789,,,,117.01000213623047,4.9,mild_risk_on,HOLD,0.72,1.51,0.74
1996-02-08,65.84375,13.890000343322754,,86.76000213623047,,,,116.9800033569336,6.1,risk_on,STRONG_HOLD,-0.97,0.14,-3.56
1996-02-09,65.828125,14.630000114440918,,86.87000274658203,,,,115.63999938964844,4.9,mild_risk_on,HOLD,-1.35,-1.26,-2.42
1996-02-12,66.328125,14.6899995803833,,86.77999877929688,,,,113.61000061035156,4.9,mild_risk_on,HOLD,-3.06,-2.31,-3.91
1996-02-13,66.1875,14.9399995803833,,86.7300033569336,,,,113.0999984741211,4.9,mild_risk_on,HOLD,-1.65,-2.55,-3.05
1996-02-14,65.609375,15.59000015258789,,86.43000030517578,,,,109.41000366210938,4.9,mild_risk_on,HOLD,0.79,-2.64,-1.76
1996-02-15,65.203125,16.1299991607666,,86.44000244140625,,,,109.54000091552734,4.9,mild_risk_on,HOLD,1.13,-0.48,-1.65
1996-02-16,64.9375,15.369999885559082,,86.12000274658203,,,,110.0999984741211,4.9,mild_risk_on,HOLD,0.1,0.51,0.65
1996-02-20,64.296875,16.799999237060547,,85.75,,,,111.56999969482422,4.9,mild_risk_on,HOLD,0.78,2.45,1.43
1996-02-21,65.09375,14.470000267028809,,85.66000366210938,,,,109.97000122070312,4.9,mild_risk_on,HOLD,-0.91,0.31,0.07
1996-02-22,66.125,14.5600004196167,,85.56999969482422,,,,108.80999755859375,4.9,mild_risk_on,HOLD,-3.4,-0.76,-1.72
1996-02-23,65.9375,14.779999732971191,,85.44999694824219,,,,110.06999969482422,4.9,mild_risk_on,HOLD,-1.59,-3.7,-1.18
1996-02-26,65.0,16.3799991607666,,85.43000030517578,,,,109.33000183105469,4.9,mild_risk_on,HOLD,0.41,-1.18,0.05
1996-02-27,64.796875,16.6299991607666,,85.41000366210938,,,,108.94000244140625,4.9,mild_risk_on,HOLD,1.66,-1.64,0.84
1996-02-28,64.5,16.719999313354492,,85.95999908447266,,,,109.12000274658203,4.9,mild_risk_on,HOLD,1.24,-0.51,0.39
