date,ticker,spot_price,rsi_14,ma_200,above_200ma,rsi_pct,iv_pct,pc_pct,iv_current,pc_ratio,gex_b,gex_regime,zero_gamma,call_wall,put_wall,opportunity_score,signal,signal_detail
2026-06-24,AAPL,293.08,32.69,269.03,True,4.9,28,100.0,23.34,0.69,0.5672999999999999,positive,256.56,310.0,292.5,8,STRONG BUY — macro dip on intact name,"RSI extremely oversold (bottom 5% of own history) | Options moderately priced (IV 28th pct) | Heavy put buying (P/C top 0% of history) — extreme fear, contrarian buy | GEX positive — dealers providing support | Above 200MA — uptrend intact, dip is buyable"
2026-06-24,MSFT,365.46,17.88,449.34,False,6.6,89,57.1,32.14,0.44,-0.023399999999999997,negative,359.86,500.0,365.0,4,"WATCH — setup building, not quite ready","RSI extremely oversold (bottom 7% of own history) | Options expensive (IV top 11% of history) — fear priced in, wait | GEX negative — unstable, watch for stabilization | Below 200MA — downtrend, scale in slowly"
2026-06-24,NVDA,199.0,38.21,190.39,True,11.5,14,57.1,37.11,0.78,0.1702,positive,195.75,220.0,200.0,6,"BUY — oversold, good loading zone","RSI very oversold (bottom 12% of own history) | Options cheap (IV bottom 14% of own history) — good entry cost | GEX positive — dealers providing support | Above 200MA — uptrend intact, dip is buyable"
2026-06-24,GOOGL,345.29,41.87,312.82,True,31.1,64,42.9,32.7,0.7,-0.141,negative,346.75,415.0,345.0,3,"NEUTRAL — no edge, wait","RSI oversold (bottom 31% of own history) | GEX negative — unstable, watch for stabilization | Above 200MA — uptrend intact, dip is buyable"
2026-06-24,META,557.67,29.62,652.14,False,18.0,61,14.3,34.81,0.44,0.087,positive,543.16,750.0,550.0,3,"NEUTRAL — no edge, wait","RSI very oversold (bottom 18% of own history) | GEX positive — dealers providing support | Below 200MA — downtrend, scale in slowly"
2026-06-24,AMZN,234.27,37.3,232.84,True,26.2,59,14.3,32.39,0.64,0.3393,positive,224.12,235.0,220.0,3,"NEUTRAL — no edge, wait","RSI oversold (bottom 26% of own history) | GEX positive — dealers providing support | Above 200MA — uptrend intact, dip is buyable"
2026-06-24,TSLA,375.53,35.0,417.66,False,8.2,35,71.4,49.57,0.71,-0.26539999999999997,negative,369.85,410.0,375.0,6,"BUY — oversold, good loading zone","RSI extremely oversold (bottom 8% of own history) | Options moderately priced (IV 35th pct) | Elevated put buying (P/C 71th pct) | GEX negative — unstable, watch for stabilization | Below 200MA — downtrend, scale in slowly"
2026-06-25,AAPL,275.15,22.9,269.21,True,1.6,28,50.0,23.34,0.67,0.1755,positive,256.29,300.0,270.0,6,"BUY — oversold, good loading zone","RSI extremely oversold (bottom 2% of own history) | Options moderately priced (IV 28th pct) | GEX positive — dealers providing support | Above 200MA — uptrend intact, dip is buyable"
2026-06-25,MSFT,352.83,15.25,448.61,False,4.8,89,62.5,32.14,0.44,-0.0854,negative,353.31,500.0,350.0,5,"WATCH — setup building, not quite ready","RSI extremely oversold (bottom 5% of own history) | Options expensive (IV top 11% of history) — fear priced in, wait | Elevated put buying (P/C 62th pct) | GEX negative — unstable, watch for stabilization | Below 200MA — downtrend, scale in slowly"
2026-06-25,NVDA,195.74,32.67,190.53,True,3.2,14,62.5,37.11,0.78,0.06620000000000001,positive,194.13,220.0,195.0,8,STRONG BUY — macro dip on intact name,"RSI extremely oversold (bottom 3% of own history) | Options cheap (IV bottom 14% of own history) — good entry cost | Elevated put buying (P/C 62th pct) | GEX positive — dealers providing support | Above 200MA — uptrend intact, dip is buyable"
2026-06-25,GOOGL,343.71,30.39,313.36,True,12.9,64,50.0,32.7,0.7,0.0016,positive,345.59,415.0,340.0,4,"WATCH — setup building, not quite ready","RSI very oversold (bottom 13% of own history) | GEX positive — dealers providing support | Above 200MA — uptrend intact, dip is buyable"
2026-06-25,META,542.87,25.15,651.1,False,4.8,61,12.5,34.81,0.43,-0.060899999999999996,negative,543.73,750.0,540.0,4,"WATCH — setup building, not quite ready","RSI extremely oversold (bottom 5% of own history) | GEX negative — unstable, watch for stabilization | Below 200MA — downtrend, scale in slowly"
2026-06-25,AMZN,227.01,29.55,232.8,False,9.7,59,25.0,32.39,0.64,0.0345,positive,225.21,250.0,225.0,4,"WATCH — setup building, not quite ready","RSI extremely oversold (bottom 10% of own history) | GEX positive — dealers providing support | Below 200MA — downtrend, scale in slowly"
2026-06-25,TSLA,375.12,36.08,417.8,False,12.9,35,50.0,49.57,0.7,0.0371,positive,372.92,410.0,370.0,4,"WATCH — setup building, not quite ready","RSI very oversold (bottom 13% of own history) | Options moderately priced (IV 35th pct) | GEX positive — dealers providing support | Below 200MA — downtrend, scale in slowly"
2026-06-26,AAPL,283.78,33.48,269.46,True,7.9,28,88.9,23.34,0.68,0.921,positive,262.58,300.0,270.0,8,STRONG BUY — macro dip on intact name,"RSI extremely oversold (bottom 8% of own history) | Options moderately priced (IV 28th pct) | Heavy put buying (P/C top 11% of history) — extreme fear, contrarian buy | GEX positive — dealers providing support | Above 200MA — uptrend intact, dip is buyable"
2026-06-26,MSFT,372.97,31.32,447.99,False,19.0,89,77.8,32.14,0.45,0.4055,positive,349.44,500.0,350.0,4,"WATCH — setup building, not quite ready","RSI very oversold (bottom 19% of own history) | Options expensive (IV top 11% of history) — fear priced in, wait | Elevated put buying (P/C 78th pct) | GEX positive — dealers providing support | Below 200MA — downtrend, scale in slowly"
